pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,868.2689651081341
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,873.9821901784649
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,880.6785323618453
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,863.4057931408527
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,859.4517128326668
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,853.1600836917903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,848.1682267414599
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,848.8754952731297
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,852.4441009163602
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,858.470103620926
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,862.059995947759
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,857.2688911558439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,850.6879423652995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,844.9806539616377
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,847.4539339502016
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,853.4023515388762
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,859.9466719537993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,863.008496556366
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,858.3370177780275
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,852.0636498508263
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,847.1027012126617
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,847.6724495164694
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,852.6913401263439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,858.8365032776737
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,863.1411281038677
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,853.4081383168232
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,847.933661377843
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.5568759178643
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,878.4841026660165
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,884.8180732661908
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,889.4518721398044
