configuration,fold,depth,learning_rate,l2_leaf_reg,random_strength,train_rows,holdout_rows,best_iteration,MAE,RMSE,R2
T1_baseline,fold_1_august,8,0.03,5.0,1.0,33718,4759,1863,89.61942812063462,613.0014776643795,0.8272403801521966
T1_baseline,fold_2_september,8,0.03,5.0,1.0,38477,4670,980,114.24399959541684,619.7773118838409,0.8344654816807462
T1_baseline,fold_3_october,8,0.03,5.0,1.0,43147,4853,555,105.61679615962016,646.6031407279457,0.8210578665028015
T2_depth6,fold_1_august,6,0.04,5.0,1.0,33718,4759,1757,87.20653427593722,613.2134475940442,0.8271208823134637
T2_depth6,fold_2_september,6,0.04,5.0,1.0,38477,4670,560,118.2720504383641,621.5134928959877,0.8335367596200256
T2_depth6,fold_3_october,6,0.04,5.0,1.0,43147,4853,1493,107.46860172798468,648.1587315290958,0.8201958367418303
T3_depth7,fold_1_august,7,0.035,5.0,1.0,33718,4759,2340,87.57954707291064,613.94276422849,0.8267094151656247
T3_depth7,fold_2_september,7,0.035,5.0,1.0,38477,4670,1926,104.93458021265432,616.6700702645112,0.8361211292128786
T3_depth7,fold_3_october,7,0.035,5.0,1.0,43147,4853,972,111.4476437409352,649.5139087485627,0.8194431777883424
T4_depth8_regularized,fold_1_august,8,0.025,10.0,1.0,33718,4759,1512,90.31792244606017,613.7783015246818,0.8268022447338678
T4_depth8_regularized,fold_2_september,8,0.025,10.0,1.0,38477,4670,1696,105.18279127828934,616.5251618086324,0.8361981384439467
T4_depth8_regularized,fold_3_october,8,0.025,10.0,1.0,43147,4853,1461,107.45843411422324,648.4497254834996,0.82003435262682
T5_depth9_regularized,fold_1_august,9,0.025,10.0,1.0,33718,4759,1113,95.31400038730663,615.9871716210336,0.8255533907363812
T5_depth9_regularized,fold_2_september,9,0.025,10.0,1.0,38477,4670,985,114.02041625940481,619.1432933985724,0.8348039847552984
T5_depth9_regularized,fold_3_october,9,0.025,10.0,1.0,43147,4853,910,109.57401744123749,648.1619753414615,0.820194037020869
T6_depth8_low_randomness,fold_1_august,8,0.03,7.0,0.5,33718,4759,1233,91.79083967770379,614.0253020246494,0.8266628180388493
T6_depth8_low_randomness,fold_2_september,8,0.03,7.0,0.5,38477,4670,1491,107.49517906900603,617.1644821707052,0.8358582458691178
T6_depth8_low_randomness,fold_3_october,8,0.03,7.0,0.5,43147,4853,1095,112.84839364752666,649.0503381979961,0.8197008195567816
