load_id,pickup,delivery,distance,equipment,weight,date,market_index,quote_signal,posted_rate,rate_per_mile
TR-012185,Bakersfield,Hartford,2829.8,Dry Van,33153.0,2025-03-19,1.16556,1.83188,25533.0,9.022899144815888
TR-037765,Phoenix,Syracuse,2810.9,Dry Van,33674.0,2025-08-27,1.04877,2.16284,24294.98,8.643132092923974
TR-001467,Los Angeles,Syracuse,2786.0,Reefer,30322.0,2025-01-10,0.98678,1.8537,24140.21,8.664827709978464
TR-017372,Reno,Philadelphia,2777.6,Reefer,33158.0,2025-04-20,1.1507,2.15601,23662.71,8.519120823732719
TR-026236,Charleston,Phoenix,2552.5,Dry Van,25665.0,2025-06-15,1.20224,1.81289,23580.42,9.238166503428012
TR-028220,Tucson,Raleigh,2423.3,Dry Van,30972.0,2025-06-27,1.32894,1.97112,22755.66,9.390360252548177
TR-003354,Phoenix,Charleston,2527.9,Reefer,36840.0,2025-01-22,1.03241,2.07342,22534.65,8.914375568653824
TR-040172,Montgomery,Fresno,2283.4,Dry Van,32447.0,2025-09-11,0.98502,1.93645,20361.89,8.917355697643863
TR-040097,Baltimore,Oklahoma City,1760.3,Reefer,29521.0,2025-09-11,1.00464,2.28753,20132.37,11.436897119809123
TR-047299,Boston,Bakersfield,2979.1,Reefer,30585.0,2025-10-27,0.86501,2.09472,19110.3,6.414789701587728
TR-031260,Oklahoma City,Baltimore,1747.7,Reefer,28876.0,2025-07-16,1.34103,1.80406,19042.39,10.895685758425358
TR-034584,Atlanta,Fresno,2242.0,Dry Van,32005.0,2025-08-06,1.09714,1.98678,18972.15,8.462154326494202
TR-046214,Columbia,Tucson,2023.4,Flatbed,34710.0,2025-10-20,0.89822,2.06797,17893.17,8.84312049026391
TR-020246,Atlanta,Los Angeles,2153.5,Reefer,31758.0,2025-05-08,1.42571,1.96054,17772.53,8.252858137915021
TR-035469,Lexington,Fresno,2305.9,Dry Van,42707.0,2025-08-12,0.9485,2.28957,17742.34,7.69432325773017
TR-004658,Baltimore,Reno,2884.1,Dry Van,35317.0,2025-01-30,1.06754,1.72427,17688.63,6.133154190215319
TR-043540,Milwaukee,Bakersfield,1893.0,Dry Van,30760.0,2025-10-03,1.08079,2.22972,17514.11,9.25203909138933
TR-033075,Mobile,Phoenix,1880.0,Reefer,21494.0,2025-07-27,0.97385,2.04041,17333.65,9.220026595744681
TR-032353,Phoenix,Nashville,1998.0,Dry Van,41695.0,2025-07-23,1.27214,2.13503,16951.43,8.4841991991992
TR-017764,Greensboro,Phoenix,2295.4,Reefer,43657.0,2025-04-22,1.26369,1.95061,16841.6,7.337109000609915
TR-013848,Phoenix,Baltimore,3127.2,Dry Van,21371.0,2025-03-29,1.05909,1.69055,16386.16,5.239882322844718
TR-019517,Los Angeles,Nashville,2021.0,Flatbed,33799.0,2025-05-03,1.28844,2.07878,16229.57,8.03046511627907
TR-028700,Bakersfield,Buffalo,2396.0,Dry Van,36757.0,2025-06-30,1.20963,2.00026,15165.13,6.329353088480801
TR-047537,Los Angeles,Richmond,2782.4,Dry Van,25730.0,2025-10-29,1.0341,2.39203,15003.55,5.39230520414031
TR-040323,Montgomery,El Paso,1639.9,Dry Van,38363.0,2025-09-12,0.96139,1.92501,14949.25,9.11595219220684
TR-018418,Providence,Phoenix,3110.8,Flatbed,33214.0,2025-04-26,1.27372,2.21169,14934.48,4.8008486562942005
TR-046517,Toledo,Albuquerque,1684.3,Reefer,31536.0,2025-10-22,0.98632,2.05917,14784.38,8.77775930653684
TR-027388,St. Louis,Reno,1823.4,Dry Van,27053.0,2025-06-21,1.22629,1.85045,14628.56,8.022682900076779
TR-020883,Reno,Memphis,1869.7,Flatbed,-19389.0,2025-05-12,1.26327,2.24126,14561.21,7.7879927261057915
