load_id,pickup,delivery,distance,equipment,weight,date,market_index,quote_signal,posted_rate,rate_per_mile
TR-022255,Greensboro,Cincinnati,314.7,Reefer,-36485.0,2025-05-21,1.37257,1.24215,4445.23,14.125293930727675
TR-036610,Chattanooga,Atlanta,98.4,Reefer,22226.0,2025-08-20,1.03474,2.58457,1386.42,14.089634146341464
TR-000871,Tulsa,Baton Rouge,305.6,Reefer,26447.0,2025-01-06,0.80857,2.64181,4069.24,13.315575916230365
TR-017071,Toledo,Dayton,201.5,Flatbed,38714.0,2025-04-18,1.30277,1.44259,2609.34,12.949578163771713
TR-027970,Buffalo,Boston,589.9,Reefer,24951.0,2025-06-25,1.3392,2.58804,7597.52,12.879335480589932
TR-023370,Amarillo,Lubbock,412.4,Flatbed,35494.0,2025-05-28,1.38576,1.40576,5308.96,12.873326867119303
TR-028013,Montgomery,Houston,604.3,Reefer,39690.0,2025-06-25,1.31135,2.76111,7773.37,12.863428760549397
TR-045484,Greensboro,Columbia,153.8,Dry Van,34198.0,2025-10-15,1.00256,1.46388,1971.21,12.8167100130039
TR-001416,Montgomery,Birmingham,198.2,Reefer,25383.0,2025-01-09,0.99663,2.66449,2509.96,12.663773965691222
TR-021969,Jacksonville,Columbia,254.5,Dry Van,32993.0,2025-05-19,1.21285,1.52868,3220.66,12.654852652259331
TR-007842,Raleigh,Greensboro,353.0,Reefer,28610.0,2025-02-19,1.02559,2.53068,4368.67,12.375835694050991
TR-047993,Cincinnati,Mobile,457.0,Reefer,34524.0,2025-10-31,1.00672,1.58343,5561.19,12.16890590809628
TR-040060,Mobile,Tampa,327.0,Dry Van,34212.0,2025-09-10,0.99682,2.4869,3869.45,11.833180428134556
TR-043185,Fort Wayne,Atlanta,548.4,Reefer,26544.0,2025-10-01,0.94021,1.76816,6477.13,11.810959153902262
TR-010174,Chattanooga,Mobile,307.9,Flatbed,30742.0,2025-03-06,1.12484,2.649,3624.74,11.772458590451446
TR-023818,Jacksonville,Savannah,218.4,Flatbed,25393.0,2025-05-30,1.39419,1.3051,2526.52,11.568315018315017
TR-014786,Dallas,St. Louis,617.9,Flatbed,17528.0,2025-04-03,1.19781,1.82074,7106.91,11.501715487943033
TR-029278,Lexington,Shreveport,635.4,Flatbed,28791.0,2025-07-03,1.36276,1.7668,7269.5,11.440824677368587
TR-040097,Baltimore,Oklahoma City,1760.3,Reefer,29521.0,2025-09-11,1.00464,2.28753,20132.37,11.436897119809123
TR-022731,Dallas,Grand Rapids,1041.3,Reefer,32899.0,2025-05-24,1.24348,1.79121,11895.25,11.423461058292519
TR-002470,Tucson,Albuquerque,441.5,Flatbed,47369.0,2025-01-16,1.02664,2.44883,4989.66,11.301608154020384
TR-022499,Amarillo,Albuquerque,408.7,Dry Van,16038.0,2025-05-22,1.44759,1.83873,4613.61,11.288500122339123
TR-017964,Greensboro,Milwaukee,480.1,Dry Van,34249.0,2025-04-23,1.34375,1.78747,5404.31,11.25663403457613
TR-016104,Mobile,Memphis,327.2,Dry Van,42497.0,2025-04-12,1.07548,1.62054,3678.14,11.241259168704156
TR-021056,Amarillo,Little Rock,837.7,Reefer,33864.0,2025-05-13,1.3147,1.51475,9350.63,11.16226572758744
TR-029089,Richmond,Baltimore,271.1,Flatbed,25430.0,2025-07-02,1.33372,1.5271,2986.67,11.016857248247879
TR-043917,Nashville,Dayton,424.2,Dry Van,25622.0,2025-10-05,0.891,1.86875,4646.65,10.953913248467703
TR-031260,Oklahoma City,Baltimore,1747.7,Reefer,28876.0,2025-07-16,1.34103,1.80406,19042.39,10.895685758425358
TR-024131,Lexington,Memphis,333.6,Dry Van,32389.0,2025-06-01,1.22352,2.46802,3631.52,10.885851318944843
TR-023457,Washington,Dayton,548.9,Flatbed,47500.0,2025-05-28,1.3837,1.64854,5965.1,10.867371105848061
TR-041089,Fort Wayne,Lexington,354.9,Dry Van,30394.0,2025-09-17,0.95333,2.30288,3848.82,10.844801352493661
TR-011714,Fort Wayne,Oklahoma City,1151.3,Reefer,38377.0,2025-03-16,0.94313,2.31669,12454.19,10.817501954312517
TR-033039,Raleigh,Fort Wayne,706.8,Reefer,43242.0,2025-07-27,0.96117,1.88399,7607.75,10.763653084323714
TR-026810,Tampa,Little Rock,619.0,Reefer,26773.0,2025-06-18,1.40187,2.6726,6625.8,10.704038772213247
TR-018109,Lexington,Green Bay,620.2,Dry Van,29075.0,2025-04-24,1.41395,1.98512,6602.57,10.645872299258302
TR-040724,Bakersfield,Tucson,331.4,Dry Van,47500.0,2025-09-15,0.82591,2.41301,3515.75,10.608780929390466
TR-004490,Dayton,Harrisburg,476.7,Dry Van,44942.0,2025-01-29,1.00745,2.18594,5048.45,10.590413257814138
TR-011363,Providence,New York,361.0,Dry Van,43114.0,2025-03-14,1.14384,2.33597,3760.75,10.41759002770083
TR-006079,Cincinnati,Lexington,150.4,Reefer,20990.0,2025-02-08,0.9733,2.72717,1550.14,10.306781914893618
TR-028598,Richmond,Shreveport,1106.1,Reefer,32640.0,2025-06-29,1.20681,2.4724,11276.81,10.195108941325378
TR-021703,Buffalo,Shreveport,1151.5,Flatbed,25885.0,2025-05-17,1.30036,1.99998,11708.49,10.168033000434216
TR-044345,Lexington,Albany,1040.0,Dry Van,36569.0,2025-10-08,1.04012,2.05845,10566.25,10.15985576923077
TR-035372,Nashville,Tampa,593.1,Flatbed,25665.0,2025-08-11,0.89485,2.01991,6014.82,10.141325240263024
TR-045820,Atlanta,Baltimore,940.4,Dry Van,30598.0,2025-10-18,0.9171,2.16316,9522.01,10.12548915355168
TR-036371,Jacksonville,Shreveport,541.4,Dry Van,22711.0,2025-08-18,0.87494,1.54444,5474.99,10.112652382711488
TR-010000,Grand Rapids,Boston,1069.1,Reefer,29476.0,2025-03-05,1.11126,2.04323,10769.23,10.073173697502572
TR-035023,Charleston,Richmond,387.4,Reefer,18109.0,2025-08-09,0.97004,1.93055,3901.56,10.071140939597315
TR-039480,Syracuse,Indianapolis,829.7,Reefer,27194.0,2025-09-07,0.83751,2.1798,8354.94,10.069832469567313
TR-014084,Oklahoma City,Baton Rouge,425.6,Dry Van,47500.0,2025-03-30,1.04176,2.4057,4285.27,10.068773496240603
