feature_set,feature,dtype,categorical
A_coordinates_market,distance,float64,False
A_coordinates_market,log_distance,float64,False
A_coordinates_market,weight_clean,float64,False
A_coordinates_market,weight_missing_flag,int64,False
A_coordinates_market,weight_negative_flag,int64,False
A_coordinates_market,equipment,object,True
A_coordinates_market,pickup_lat,float64,False
A_coordinates_market,pickup_lon,float64,False
A_coordinates_market,delivery_lat,float64,False
A_coordinates_market,delivery_lon,float64,False
A_coordinates_market,latitude_change,float64,False
A_coordinates_market,longitude_change,float64,False
A_coordinates_market,absolute_latitude_change,float64,False
A_coordinates_market,absolute_longitude_change,float64,False
A_coordinates_market,route_mid_lat,float64,False
A_coordinates_market,route_mid_lon,float64,False
A_coordinates_market,haversine_distance,float64,False
A_coordinates_market,detour_ratio,float64,False
A_coordinates_market,bearing_sin,float64,False
A_coordinates_market,bearing_cos,float64,False
A_coordinates_market,year,int32,False
A_coordinates_market,month,int32,False
A_coordinates_market,day_of_month,int32,False
A_coordinates_market,day_of_week,int32,False
A_coordinates_market,day_of_year,int32,False
A_coordinates_market,week_of_year,int64,False
A_coordinates_market,quarter,int32,False
A_coordinates_market,is_weekend,int64,False
A_coordinates_market,is_month_start,int64,False
A_coordinates_market,is_month_end,int64,False
A_coordinates_market,day_of_week_sin,float64,False
A_coordinates_market,day_of_week_cos,float64,False
A_coordinates_market,month_sin,float64,False
A_coordinates_market,month_cos,float64,False
A_coordinates_market,day_of_year_sin,float64,False
A_coordinates_market,day_of_year_cos,float64,False
A_coordinates_market,distance_x_weight,float64,False
A_coordinates_market,weight_per_1000_miles,float64,False
A_coordinates_market,market_index_clean,float64,False
A_coordinates_market,market_index_missing_flag,int64,False
A_coordinates_market,quote_signal,float64,False
B_coordinates_no_market,distance,float64,False
B_coordinates_no_market,log_distance,float64,False
B_coordinates_no_market,weight_clean,float64,False
B_coordinates_no_market,weight_missing_flag,int64,False
B_coordinates_no_market,weight_negative_flag,int64,False
B_coordinates_no_market,equipment,object,True
B_coordinates_no_market,pickup_lat,float64,False
B_coordinates_no_market,pickup_lon,float64,False
B_coordinates_no_market,delivery_lat,float64,False
B_coordinates_no_market,delivery_lon,float64,False
B_coordinates_no_market,latitude_change,float64,False
B_coordinates_no_market,longitude_change,float64,False
B_coordinates_no_market,absolute_latitude_change,float64,False
B_coordinates_no_market,absolute_longitude_change,float64,False
B_coordinates_no_market,route_mid_lat,float64,False
B_coordinates_no_market,route_mid_lon,float64,False
B_coordinates_no_market,haversine_distance,float64,False
B_coordinates_no_market,detour_ratio,float64,False
B_coordinates_no_market,bearing_sin,float64,False
B_coordinates_no_market,bearing_cos,float64,False
B_coordinates_no_market,year,int32,False
B_coordinates_no_market,month,int32,False
B_coordinates_no_market,day_of_month,int32,False
B_coordinates_no_market,day_of_week,int32,False
B_coordinates_no_market,day_of_year,int32,False
B_coordinates_no_market,week_of_year,int64,False
B_coordinates_no_market,quarter,int32,False
B_coordinates_no_market,is_weekend,int64,False
B_coordinates_no_market,is_month_start,int64,False
B_coordinates_no_market,is_month_end,int64,False
B_coordinates_no_market,day_of_week_sin,float64,False
B_coordinates_no_market,day_of_week_cos,float64,False
B_coordinates_no_market,month_sin,float64,False
B_coordinates_no_market,month_cos,float64,False
B_coordinates_no_market,day_of_year_sin,float64,False
B_coordinates_no_market,day_of_year_cos,float64,False
B_coordinates_no_market,distance_x_weight,float64,False
B_coordinates_no_market,weight_per_1000_miles,float64,False
C_coordinates_city_market,distance,float64,False
C_coordinates_city_market,log_distance,float64,False
C_coordinates_city_market,weight_clean,float64,False
C_coordinates_city_market,weight_missing_flag,int64,False
C_coordinates_city_market,weight_negative_flag,int64,False
C_coordinates_city_market,equipment,object,True
C_coordinates_city_market,pickup_lat,float64,False
C_coordinates_city_market,pickup_lon,float64,False
C_coordinates_city_market,delivery_lat,float64,False
C_coordinates_city_market,delivery_lon,float64,False
C_coordinates_city_market,latitude_change,float64,False
C_coordinates_city_market,longitude_change,float64,False
C_coordinates_city_market,absolute_latitude_change,float64,False
C_coordinates_city_market,absolute_longitude_change,float64,False
C_coordinates_city_market,route_mid_lat,float64,False
C_coordinates_city_market,route_mid_lon,float64,False
C_coordinates_city_market,haversine_distance,float64,False
C_coordinates_city_market,detour_ratio,float64,False
C_coordinates_city_market,bearing_sin,float64,False
C_coordinates_city_market,bearing_cos,float64,False
C_coordinates_city_market,year,int32,False
C_coordinates_city_market,month,int32,False
C_coordinates_city_market,day_of_month,int32,False
C_coordinates_city_market,day_of_week,int32,False
C_coordinates_city_market,day_of_year,int32,False
C_coordinates_city_market,week_of_year,int64,False
C_coordinates_city_market,quarter,int32,False
C_coordinates_city_market,is_weekend,int64,False
C_coordinates_city_market,is_month_start,int64,False
C_coordinates_city_market,is_month_end,int64,False
C_coordinates_city_market,day_of_week_sin,float64,False
C_coordinates_city_market,day_of_week_cos,float64,False
C_coordinates_city_market,month_sin,float64,False
C_coordinates_city_market,month_cos,float64,False
C_coordinates_city_market,day_of_year_sin,float64,False
C_coordinates_city_market,day_of_year_cos,float64,False
C_coordinates_city_market,distance_x_weight,float64,False
C_coordinates_city_market,weight_per_1000_miles,float64,False
C_coordinates_city_market,pickup,object,True
C_coordinates_city_market,delivery,object,True
C_coordinates_city_market,market_index_clean,float64,False
C_coordinates_city_market,market_index_missing_flag,int64,False
C_coordinates_city_market,quote_signal,float64,False
