load_id,pickup,delivery,distance,equipment,weight,date,market_index,quote_signal,posted_rate,baseline_predicted_rate,residual,absolute_residual,residual_pct,residual_modified_z,residual_anomaly_flag,extreme_relative_error_flag,strong_target_anomaly_candidate
TR-012185,Bakersfield,Hartford,2829.8,Dry Van,33153.0,2025-03-19,1.16556,1.83188,25533.0,5409.434080849488,20123.56591915051,20123.56591915051,3.7200870956893777,157.7226629049086,True,True,True
TR-037765,Phoenix,Syracuse,2810.9,Dry Van,33674.0,2025-08-27,1.04877,2.16284,24294.98,5374.394028704977,18920.585971295022,18920.585971295022,3.520505915688165,148.30340446653375,True,True,True
TR-026236,Charleston,Phoenix,2552.5,Dry Van,25665.0,2025-06-15,1.20224,1.81289,23580.42,4895.327918962045,18685.092081037954,18685.092081037954,3.816923480991187,146.45950190029075,True,True,True
TR-001467,Los Angeles,Syracuse,2786.0,Reefer,30322.0,2025-01-10,0.98678,1.8537,24140.21,5614.40649239002,18525.80350760998,18525.80350760998,3.2996904539634886,145.21228224208048,True,True,True
TR-028220,Tucson,Raleigh,2423.3,Dry Van,30972.0,2025-06-27,1.32894,1.97112,22755.66,4655.794864090579,18099.865135909422,18099.865135909422,3.887599360425191,141.8772111887182,True,True,True
TR-017372,Reno,Philadelphia,2777.6,Reefer,33158.0,2025-04-20,1.1507,2.15601,23662.71,5598.833135881348,18063.87686411865,18063.87686411865,3.2263645702088066,141.59542525092925,True,True,True
TR-003354,Phoenix,Charleston,2527.9,Reefer,36840.0,2025-01-22,1.03241,2.07342,22534.65,5135.896573950969,17398.753426049032,17398.753426049032,3.3876759735183746,136.3875499511236,True,True,True
TR-040097,Baltimore,Oklahoma City,1760.3,Reefer,29521.0,2025-09-11,1.00464,2.28753,20132.37,3712.7884244204924,16419.581575579505,16419.581575579505,4.422439336316973,128.7206950450249,True,True,True
TR-040172,Montgomery,Fresno,2283.4,Dry Van,32447.0,2025-09-11,0.98502,1.93645,20361.89,4396.424319380685,15965.465680619314,15965.465680619314,3.6314660553211424,125.16499573081013,True,True,True
TR-031260,Oklahoma City,Baltimore,1747.7,Reefer,28876.0,2025-07-16,1.34103,1.80406,19042.39,3689.4283896574857,15352.961610342514,15352.961610342514,4.161338827819838,120.3691268197959,True,True,True
TR-034584,Atlanta,Fresno,2242.0,Dry Van,32005.0,2025-08-06,1.09714,1.98678,18972.15,4319.669919445092,14652.48008055491,14652.48008055491,3.3920369736114413,114.88439985311646,True,True,True
TR-043540,Milwaukee,Bakersfield,1893.0,Dry Van,30760.0,2025-10-03,1.08079,2.22972,17514.11,3672.6340359300634,13841.475964069938,13841.475964069938,3.7688143791775053,108.53428788211009,True,True,True
TR-046214,Columbia,Tucson,2023.4,Flatbed,34710.0,2025-10-20,0.89822,2.06797,17893.17,4096.762716992325,13796.407283007673,13796.407283007673,3.367636408568087,108.18140290247354,True,True,True
TR-033075,Mobile,Phoenix,1880.0,Reefer,21494.0,2025-07-27,0.97385,2.04041,17333.65,3934.708754669057,13398.941245330945,13398.941245330945,3.40531970236204,105.06926845997687,True,True,True
TR-020246,Atlanta,Los Angeles,2153.5,Reefer,31758.0,2025-05-08,1.42571,1.96054,17772.53,4441.769826707338,13330.76017329266,13330.76017329266,3.0012271444454126,104.53541489136259,True,True,True
TR-035469,Lexington,Fresno,2305.9,Dry Van,42707.0,2025-08-12,0.9485,2.28957,17742.34,4438.13866717177,13304.20133282823,13304.20133282823,2.9976984340839468,104.32746081648047,True,True,True
TR-047299,Boston,Bakersfield,2979.1,Reefer,30585.0,2025-10-27,0.86501,2.09472,19110.3,5972.408294988163,13137.891705011836,13137.891705011836,2.1997644929996993,103.02526673753086,True,True,True
TR-032353,Phoenix,Nashville,1998.0,Dry Van,41695.0,2025-07-23,1.27214,2.13503,16951.43,3867.300992288453,13084.129007711548,13084.129007711548,3.3832714427456785,102.6043081495525,True,True,True
TR-004658,Baltimore,Reno,2884.1,Dry Van,35317.0,2025-01-30,1.06754,1.72427,17688.63,5510.104706851968,12178.525293148032,12178.525293148032,2.2102166730159767,95.51348718829513,True,True,True
TR-019517,Los Angeles,Nashville,2021.0,Flatbed,33799.0,2025-05-03,1.28844,2.07878,16229.57,4092.3131865612763,12137.256813438724,12137.256813438724,2.9658670439242507,95.190357549739,True,True,True
