load_id,pickup,delivery,distance,equipment,weight,date,market_index,quote_signal,posted_rate,baseline_predicted_rate,residual,absolute_residual,residual_pct,residual_modified_z,residual_anomaly_flag,extreme_relative_error_flag,strong_target_anomaly_candidate
TR-023044,Phoenix,Philadelphia,2983.4,Dry Van,37692.0,2025-05-26,1.16832,2.31695,1047.91,5694.204028436618,-4646.294028436618,4646.294028436618,-0.8159690108105047,-36.2238054003968,True,True,True
TR-025799,Albany,Reno,2894.3,Dry Van,32383.0,2025-06-12,1.33841,1.87999,969.83,5529.015211183927,-4559.185211183927,4559.185211183927,-0.8245926330536663,-35.54174875977953,True,True,True
TR-029459,Los Angeles,Syracuse,2922.2,Dry Van,22295.0,2025-07-05,1.19915,2.45808,1106.28,5580.74100244487,-4474.46100244487,4474.46100244487,-0.8017682598932026,-34.87836345604057,True,True,True
TR-035476,Bakersfield,New York,2832.5,Reefer,26339.0,2025-08-12,1.02816,2.10956,1345.5,5700.616144491592,-4355.116144491592,4355.116144491592,-0.7639728818962607,-33.943900614530186,True,True,True
TR-005051,Raleigh,Reno,2642.3,Reefer,35325.0,2025-02-01,,1.90434,1020.7,5347.990857830967,-4327.290857830967,4327.290857830967,-0.8091432788249054,-33.72603034441843,True,True,True
TR-014103,Buffalo,Bakersfield,2536.4,Dry Van,27044.0,2025-03-30,1.03395,1.77264,846.42,4865.478985653758,-4019.058985653758,4019.058985653758,-0.8260356272227801,-31.312593887595625,True,True,True
TR-016400,Salt Lake City,Hartford,2618.1,Flatbed,-36738.0,2025-04-14,1.09914,2.17998,1211.76,5199.319278385985,-3987.5592783859847,3987.5592783859847,-0.7669387211827152,-31.065953131848,True,True,True
TR-040874,Bakersfield,Baltimore,2897.4,Reefer,25930.0,2025-09-16,0.86474,1.98679,1843.92,5820.938863231207,-3977.0188632312065,3977.0188632312065,-0.6832263586124595,-30.983422334416503,True,True,True
TR-040049,New York,Los Angeles,2887.9,Flatbed,31240.0,2025-09-10,0.97974,1.93114,1758.37,5699.5206576764,-3941.1506576764004,3941.1506576764004,-0.6914880907341323,-30.702576507814197,True,True,True
TR-011094,Syracuse,Phoenix,2778.7,Reefer,24563.0,2025-03-12,1.16146,1.92735,1669.29,5600.872503995579,-3931.582503995579,3931.582503995579,-0.701958936074843,-30.627658457468964,True,True,True
TR-010386,Philadelphia,Tucson,2725.3,Dry Van,33625.0,2025-03-07,1.11218,1.86147,1294.91,5215.694109997567,-3920.7841099975667,3920.7841099975667,-0.7517281549318843,-30.543107701682892,True,True,True
TR-046174,Philadelphia,El Paso,2490.9,Dry Van,22411.0,2025-10-20,0.87879,2.40555,880.13,4781.123304565123,-3900.9933045651233,3900.9933045651233,-0.8159156449364876,-30.388146921659835,True,True,True
TR-024159,Charleston,San Francisco,2813.6,Flatbed,47500.0,2025-06-01,1.19225,2.11177,1701.75,5561.770611415177,-3860.020611415177,3860.020611415177,-0.6940272947418458,-30.067333273532487,True,True,True
TR-023605,San Francisco,Grand Rapids,2308.9,Reefer,23874.0,2025-05-29,1.41726,2.04136,930.2,4729.876922117755,-3799.6769221177556,3799.6769221177556,-0.8033352631967616,-29.59484592606617,True,True,True
TR-008204,Los Angeles,Philadelphia,2994.6,Flatbed,19439.0,2025-02-22,1.00997,1.81841,2134.82,5897.339364756783,-3762.5193647567826,3762.5193647567826,-0.6380028572277959,-29.303904554727715,True,True,True
TR-005683,Savannah,Reno,2323.1,Flatbed,44252.0,2025-02-05,1.05019,1.96689,908.76,4652.397829569557,-3743.6378295695567,3743.6378295695567,-0.8046684670377642,-29.156063304373713,True,True,True
TR-001556,El Paso,New York,2415.0,Dry Van,39284.0,2025-01-10,0.97093,1.83237,911.44,4640.406904683201,-3728.966904683201,3728.966904683201,-0.8035861900213632,-29.041190871727665,True,True,True
TR-031963,Columbia,Reno,2254.9,Flatbed,28843.0,2025-07-20,1.0984,2.2141,858.34,4525.9570064872505,-3667.6170064872504,3667.6170064872504,-0.8103517115231753,-28.56082497094454,True,True,True
TR-024282,Fresno,Tampa,2276.5,Reefer,33529.0,2025-06-02,1.24285,2.203,1061.17,4669.808261298595,-3608.6382612985954,3608.6382612985954,-0.7727594066774582,-28.099025051258987,True,True,True
TR-007691,Syracuse,Los Angeles,2810.2,Dry Van,24949.0,2025-02-18,0.97362,1.63687,1816.76,5373.096248995921,-3556.336248995921,3556.336248995921,-0.6618783815124285,-27.689503536287624,True,True,True
