dataset,column,missing_count,missing_pct
train,load_id,0,0.0
train,pickup,0,0.0
train,delivery,0,0.0
train,pickup_lat,0,0.0
train,pickup_lon,0,0.0
train,delivery_lat,0,0.0
train,delivery_lon,0,0.0
train,distance,0,0.0
train,equipment,0,0.0
train,weight,300,0.625
train,date,0,0.0
train,market_index,374,0.7791666666666667
train,quote_signal,0,0.0
train,posted_rate,0,0.0
validation,load_id,0,0.0
validation,pickup,0,0.0
validation,delivery,0,0.0
validation,pickup_lat,0,0.0
validation,pickup_lon,0,0.0
validation,delivery_lat,0,0.0
validation,delivery_lon,0,0.0
validation,distance,0,0.0
validation,equipment,0,0.0
validation,weight,165,1.375
validation,date,0,0.0
validation,market_index,249,2.075
validation,quote_signal,0,0.0
template,load_id,0,0.0
template,predicted_rate,12000,100.0
december,pickup,0,0.0
december,delivery,0,0.0
december,distance,0,0.0
december,equipment,0,0.0
december,weight,0,0.0
december,date,0,0.0
december,predicted_rate,31,100.0
