month,loads,mean_rate,median_rate,mean_distance,median_rate_per_mile
2025-01,4918,2255.9670475803173,1915.2,1139.564233428223,2.0291576557165607
2025-02,4337,2273.804800553378,1994.25,1136.7941203596956,2.061142796226214
2025-03,5036,2372.2680917394755,2022.92,1142.7523232724384,2.1392786400606116
2025-04,4819,2372.1623075326834,2044.24,1137.3090267690393,2.1466988540515386
2025-05,4913,2421.776342357012,2065.51,1135.9074699776104,2.1901941557168074
2025-06,4783,2497.0301149905913,2120.22,1132.9695379468951,2.2478847651180898
2025-07,4912,2415.162029723127,2059.145,1130.5076140065148,2.1874218297132746
2025-08,4759,2338.407661273377,2015.73,1132.002101281782,2.120525234741784
2025-09,4670,2406.374012847966,2057.13,1144.8687366167023,2.1596216424733026
2025-10,4853,2379.051374407583,2035.9,1125.9794766124048,2.1638275204665245
