load_id,equipment,weight,distance,posted_rate,date,absolute_weight
TR-000069,Reefer,-36559.0,1334.2,2831.27,2025-01-01,36559.0
TR-000205,Dry Van,-26670.0,496.2,1046.92,2025-01-02,26670.0
TR-000207,Reefer,-20003.0,411.3,959.15,2025-01-02,20003.0
TR-000226,Reefer,-23981.0,1317.4,2836.0,2025-01-02,23981.0
TR-000377,Dry Van,-41397.0,1331.1,2522.54,2025-01-03,41397.0
TR-000447,Reefer,-37215.0,2438.3,4841.57,2025-01-03,37215.0
TR-000496,Dry Van,-31214.0,715.9,1473.78,2025-01-04,31214.0
TR-000642,Dry Van,-41023.0,582.4,1264.33,2025-01-05,41023.0
TR-000807,Dry Van,-28320.0,676.1,1307.76,2025-01-06,28320.0
TR-001094,Dry Van,-25153.0,1058.5,1907.83,2025-01-07,25153.0
TR-001348,Dry Van,-25569.0,773.5,1529.4,2025-01-09,25569.0
TR-001351,Dry Van,-33033.0,607.7,1211.22,2025-01-09,33033.0
TR-001530,Dry Van,-31309.0,1052.8,1982.49,2025-01-10,31309.0
TR-001619,Dry Van,-39700.0,784.5,1634.52,2025-01-11,39700.0
TR-001688,Flatbed,-21304.0,1277.4,2414.39,2025-01-11,21304.0
TR-001717,Dry Van,-19389.0,788.5,1456.42,2025-01-11,19389.0
TR-001836,Dry Van,-43143.0,183.1,455.48,2025-01-12,43143.0
TR-001897,Reefer,-35820.0,1620.9,3312.79,2025-01-12,35820.0
TR-001929,Dry Van,-31266.0,1023.9,1964.55,2025-01-12,31266.0
TR-001940,Dry Van,-34419.0,1749.3,3085.22,2025-01-13,34419.0
TR-002263,Dry Van,-35662.0,701.7,1408.51,2025-01-15,35662.0
TR-002288,Flatbed,-21912.0,975.8,1982.96,2025-01-15,21912.0
TR-003149,Dry Van,-26774.0,1181.9,2173.59,2025-01-20,26774.0
TR-003208,Dry Van,-23219.0,2610.4,4272.97,2025-01-21,23219.0
TR-003345,Dry Van,-30966.0,1520.0,2908.61,2025-01-22,30966.0
TR-003464,Dry Van,-35975.0,644.3,1282.43,2025-01-22,35975.0
TR-003585,Reefer,-33623.0,1816.5,3806.41,2025-01-23,33623.0
TR-003626,Flatbed,-26389.0,820.4,1647.44,2025-01-23,26389.0
TR-004369,Dry Van,-38269.0,430.3,944.5,2025-01-28,38269.0
TR-004701,Flatbed,-32186.0,638.1,1457.06,2025-01-30,32186.0
TR-004779,Reefer,-37920.0,329.8,841.8,2025-01-31,37920.0
TR-004941,Dry Van,-37415.0,735.0,1582.26,2025-02-01,37415.0
TR-005035,Dry Van,-47500.0,1053.5,2178.09,2025-02-01,47500.0
TR-005116,Dry Van,-29509.0,825.3,1658.98,2025-02-02,29509.0
TR-005153,Dry Van,-35486.0,641.6,1280.91,2025-02-02,35486.0
TR-005237,Reefer,-47500.0,459.1,1207.21,2025-02-02,47500.0
TR-005665,Dry Van,-31737.0,1066.5,2179.79,2025-02-05,31737.0
TR-005764,Flatbed,-13852.0,112.5,303.23,2025-02-06,13852.0
TR-006081,Dry Van,-43727.0,741.5,1556.39,2025-02-08,43727.0
TR-006231,Flatbed,-38350.0,467.1,1097.17,2025-02-09,38350.0
TR-006354,Reefer,-33622.0,1205.8,2545.65,2025-02-09,33622.0
TR-006356,Flatbed,-34854.0,1200.2,2490.93,2025-02-09,34854.0
TR-006485,Dry Van,-11574.0,2116.5,3731.75,2025-02-10,11574.0
TR-006530,Dry Van,-46334.0,2796.0,4936.96,2025-02-11,46334.0
TR-006982,Flatbed,-22094.0,2255.6,9825.71,2025-02-14,22094.0
TR-007001,Dry Van,-33443.0,1259.9,2402.86,2025-02-14,33443.0
TR-007121,Flatbed,-36244.0,664.8,1419.72,2025-02-15,36244.0
TR-007124,Flatbed,-43764.0,1166.8,2486.46,2025-02-15,43764.0
TR-007176,Reefer,-33268.0,1177.2,2676.62,2025-02-15,33268.0
TR-007407,Dry Van,-22288.0,2243.4,3718.73,2025-02-16,22288.0
TR-007988,Dry Van,-46187.0,1137.7,2262.9,2025-02-20,46187.0
TR-008072,Dry Van,-44513.0,1934.8,3697.48,2025-02-21,44513.0
TR-008171,Reefer,-33259.0,991.6,2153.88,2025-02-21,33259.0
TR-008223,Dry Van,-17202.0,1802.2,3256.71,2025-02-22,17202.0
TR-008385,Dry Van,-45588.0,1073.2,2137.58,2025-02-23,45588.0
TR-008669,Dry Van,-40990.0,128.8,347.4,2025-02-25,40990.0
TR-008680,Dry Van,-38584.0,3037.2,5230.11,2025-02-25,38584.0
TR-008746,Reefer,-29292.0,505.6,1236.65,2025-02-25,29292.0
TR-008833,Dry Van,-17972.0,509.1,1145.46,2025-02-26,17972.0
TR-008922,Dry Van,-39252.0,644.1,1401.79,2025-02-26,39252.0
TR-009115,Dry Van,-27961.0,827.0,1620.28,2025-02-28,27961.0
TR-009295,Dry Van,-14411.0,1688.6,3073.91,2025-03-01,14411.0
TR-009373,Dry Van,-34965.0,501.0,1159.96,2025-03-01,34965.0
TR-009791,Reefer,-27392.0,945.7,2089.56,2025-03-04,27392.0
TR-009815,Dry Van,-29644.0,710.1,1526.14,2025-03-04,29644.0
TR-009943,Flatbed,-34189.0,1930.2,4107.41,2025-03-05,34189.0
TR-010235,Reefer,-32385.0,2385.8,4971.93,2025-03-07,32385.0
TR-010371,Reefer,-37791.0,75.1,249.26,2025-03-07,37791.0
TR-010376,Reefer,-37994.0,224.6,687.4,2025-03-07,37994.0
TR-010397,Dry Van,-30886.0,759.1,1532.27,2025-03-08,30886.0
TR-010481,Dry Van,-45975.0,2543.5,4558.3,2025-03-08,45975.0
TR-010484,Dry Van,-38018.0,2262.7,4214.2,2025-03-08,38018.0
TR-010557,Dry Van,-31176.0,517.5,1121.42,2025-03-08,31176.0
TR-010616,Dry Van,-26972.0,519.7,1153.66,2025-03-09,26972.0
TR-010632,Reefer,-32853.0,1319.2,2790.37,2025-03-09,32853.0
TR-010652,Dry Van,-36505.0,842.7,1657.43,2025-03-09,36505.0
TR-010785,Reefer,-28808.0,1352.9,2974.51,2025-03-10,28808.0
TR-010951,Dry Van,-25596.0,1176.5,2200.87,2025-03-11,25596.0
TR-011682,Flatbed,-17197.0,2804.1,5210.52,2025-03-16,17197.0
TR-011858,Reefer,-29838.0,722.8,1683.11,2025-03-17,29838.0
TR-011875,Dry Van,-27265.0,308.3,767.27,2025-03-17,27265.0
TR-011899,Reefer,-40011.0,531.9,1346.63,2025-03-17,40011.0
TR-012100,Dry Van,-22281.0,412.1,918.2,2025-03-18,22281.0
TR-012125,Dry Van,-20388.0,1132.2,2197.21,2025-03-18,20388.0
TR-012146,Dry Van,-26071.0,207.9,532.52,2025-03-18,26071.0
TR-012266,Flatbed,-25162.0,833.8,1999.43,2025-03-19,25162.0
TR-012267,Flatbed,-18850.0,1671.6,3499.3,2025-03-19,18850.0
TR-012290,Reefer,-34542.0,2709.4,5736.36,2025-03-19,34542.0
TR-012400,Flatbed,-43588.0,377.2,1004.79,2025-03-20,43588.0
TR-012592,Reefer,-47500.0,2749.0,5741.43,2025-03-21,47500.0
TR-012608,Reefer,-31553.0,644.8,1677.13,2025-03-21,31553.0
TR-012636,Dry Van,-35664.0,358.9,832.0,2025-03-22,35664.0
TR-012651,Dry Van,-16229.0,1361.3,2567.26,2025-03-22,16229.0
TR-012706,Flatbed,-27099.0,851.1,1864.29,2025-03-22,27099.0
TR-012813,Dry Van,-18229.0,711.1,1459.42,2025-03-23,18229.0
TR-012833,Dry Van,-28855.0,1383.5,2544.56,2025-03-23,28855.0
TR-013621,Dry Van,-47500.0,789.2,1704.51,2025-03-28,47500.0
TR-013755,Dry Van,-30923.0,483.8,1122.57,2025-03-28,30923.0
TR-013940,Dry Van,-32295.0,2276.2,4058.01,2025-03-29,32295.0
TR-014070,Dry Van,-39826.0,1090.4,2359.03,2025-03-30,39826.0
TR-014144,Dry Van,-22911.0,955.9,1917.71,2025-03-31,22911.0
TR-014563,Dry Van,-45128.0,733.2,1580.42,2025-04-02,45128.0
TR-014699,Flatbed,-25970.0,1242.3,2663.93,2025-04-03,25970.0
TR-014792,Dry Van,-41195.0,1917.1,3698.21,2025-04-03,41195.0
TR-014819,Reefer,-29310.0,277.7,760.37,2025-04-04,29310.0
TR-015043,Flatbed,-31640.0,477.6,1141.8,2025-04-05,31640.0
TR-015341,Reefer,-29815.0,498.8,1175.53,2025-04-07,29815.0
TR-015464,Flatbed,-39954.0,1407.5,3146.87,2025-04-08,39954.0
TR-015898,Dry Van,-22409.0,2660.5,4590.29,2025-04-10,22409.0
TR-016046,Dry Van,-34874.0,1489.4,2947.73,2025-04-11,34874.0
TR-016400,Flatbed,-36738.0,2618.1,1211.76,2025-04-14,36738.0
TR-016642,Dry Van,-33084.0,742.2,1623.98,2025-04-15,33084.0
TR-016661,Flatbed,-29772.0,2080.5,4083.4,2025-04-15,29772.0
TR-016758,Reefer,-19415.0,1588.5,3345.5,2025-04-16,19415.0
TR-016797,Reefer,-21270.0,1070.6,2409.5,2025-04-16,21270.0
TR-016824,Dry Van,-47500.0,273.1,676.06,2025-04-16,47500.0
TR-017104,Dry Van,-32834.0,247.3,622.16,2025-04-18,32834.0
TR-017484,Reefer,-13119.0,2758.2,5418.11,2025-04-20,13119.0
TR-018065,Flatbed,-47500.0,475.4,1203.67,2025-04-24,47500.0
TR-018271,Dry Van,-36413.0,1825.3,8708.21,2025-04-25,36413.0
TR-018273,Reefer,-31578.0,1653.2,3679.08,2025-04-25,31578.0
TR-018410,Reefer,-33900.0,2359.5,4894.43,2025-04-26,33900.0
TR-018489,Flatbed,-47500.0,2760.8,5478.31,2025-04-27,47500.0
TR-018577,Flatbed,-36281.0,808.0,1951.39,2025-04-27,36281.0
TR-018802,Dry Van,-37981.0,665.3,1485.62,2025-04-29,37981.0
TR-018832,Dry Van,-36369.0,1496.1,3166.73,2025-04-29,36369.0
TR-019182,Reefer,-39829.0,1479.5,3548.35,2025-05-01,39829.0
TR-019307,Flatbed,-32282.0,1768.5,3685.32,2025-05-02,32282.0
TR-019316,Flatbed,-38986.0,1745.0,3927.02,2025-05-02,38986.0
TR-019549,Reefer,-30379.0,1288.1,2907.81,2025-05-03,30379.0
TR-019786,Flatbed,-31906.0,1066.7,2367.97,2025-05-05,31906.0
TR-020068,Flatbed,-31721.0,2256.9,4573.65,2025-05-07,31721.0
TR-020464,Flatbed,-39773.0,906.5,2190.73,2025-05-09,39773.0
TR-020467,Dry Van,-5000.0,884.8,1695.78,2025-05-09,5000.0
TR-020489,Flatbed,-33450.0,613.3,1415.65,2025-05-09,33450.0
TR-020577,Flatbed,-47500.0,1265.6,2919.39,2025-05-10,47500.0
TR-020878,Dry Van,-34434.0,192.7,489.14,2025-05-12,34434.0
TR-020883,Flatbed,-19389.0,1869.7,14561.21,2025-05-12,19389.0
TR-021162,Dry Van,-43938.0,557.4,1358.82,2025-05-14,43938.0
TR-021224,Reefer,-13876.0,455.2,1082.57,2025-05-14,13876.0
TR-021241,Dry Van,-37318.0,1979.8,3819.18,2025-05-14,37318.0
TR-021400,Flatbed,-23480.0,330.4,247.37,2025-05-15,23480.0
TR-021521,Flatbed,-36652.0,370.2,980.05,2025-05-16,36652.0
TR-021598,Dry Van,-36776.0,698.6,1684.34,2025-05-17,36776.0
TR-021820,Dry Van,-29306.0,893.8,1876.1,2025-05-18,29306.0
TR-021865,Flatbed,-44568.0,2219.6,4466.95,2025-05-18,44568.0
TR-021939,Flatbed,-33276.0,1446.3,3120.82,2025-05-19,33276.0
TR-022200,Flatbed,-34769.0,2125.8,4460.25,2025-05-20,34769.0
TR-022255,Reefer,-36485.0,314.7,4445.23,2025-05-21,36485.0
TR-022279,Dry Van,-33487.0,1459.9,3078.24,2025-05-21,33487.0
TR-022285,Dry Van,-35421.0,926.0,2055.57,2025-05-21,35421.0
TR-022423,Dry Van,-47500.0,1185.8,2539.75,2025-05-22,47500.0
TR-022459,Dry Van,-32048.0,1632.3,599.77,2025-05-22,32048.0
TR-022491,Reefer,-27722.0,1054.2,2558.37,2025-05-22,27722.0
TR-022548,Dry Van,-25982.0,1445.0,2847.23,2025-05-23,25982.0
TR-022599,Dry Van,-34309.0,811.1,1706.88,2025-05-23,34309.0
TR-022690,Dry Van,-29107.0,385.2,941.77,2025-05-23,29107.0
TR-023076,Flatbed,-44572.0,863.2,2013.65,2025-05-26,44572.0
