dataset,column,count,missing,min,p01,p05,median,mean,p95,p99,max,std,negative_count,zero_count
train,pickup_lat,48000,0,28.35765,28.35765,28.75668,35.29479,35.64754474875,43.438,44.30296,44.30296,4.315284932191945,0,0
train,pickup_lon,48000,0,-121.69849,-119.79528,-116.70249,-88.08915,-90.92896441729165,-72.18051,-69.5,-69.5,13.482431410187987,48000,0
train,delivery_lat,48000,0,28.35765,28.35765,28.75668,35.29479,35.641174907916664,43.438,44.30296,44.30296,4.317198800772889,0,0
train,delivery_lon,48000,0,-121.69849,-119.79528,-116.70249,-87.52871,-90.85731029354167,-72.18051,-69.5,-69.5,13.476588640205028,48000,0
train,distance,48000,0,70.0,121.899,236.1,953.3,1135.8566541666667,2562.3,3029.304000000001,3439.8,728.5644163845357,0,0
train,weight,47700,300,-47500.0,9801.96,17490.95,31436.5,31028.844004192873,44934.19999999998,47500.0,47500.0,9391.440619602112,292,0
train,market_index,47626,374,0.67639,0.7828875,0.836265,1.0558,1.0833867156595136,1.3659575,1.4071850000000001,1.46778,0.1680909157944615,0,0
train,quote_signal,48000,0,0.69228,1.3046567,1.6060545000000002,2.05575,2.0624678412499997,2.5507734999999996,2.8839514000000004,3.61035,0.29139139082151877,0,0
train,posted_rate,48000,0,57.22,327.16880000000003,599.7385,2030.76,2373.9806822916667,4953.7665,5972.834000000003,25533.0,1486.4932447622946,0,0
validation,pickup_lat,12000,0,25.5,28.35765,28.75668,35.29479,35.574215894999995,43.438,44.30296,44.30296,4.366998764328562,0,0
validation,pickup_lon,12000,0,-121.69849,-119.79528,-116.70249,-87.52871,-90.72487969083332,-72.18051,-69.5,-69.5,13.411638135900304,12000,0
validation,delivery_lat,12000,0,25.5,28.35765,28.75668,35.29479,35.60953833083333,43.438,44.30296,44.30296,4.351843947189384,0,0
validation,delivery_lon,12000,0,-121.69849,-119.79528,-116.70249,-87.52871,-90.91352988416666,-72.18051,-69.5,-69.5,13.624743766169727,12000,0
validation,distance,12000,0,70.0,119.394,234.09,953.6,1141.7730999999999,2592.93,3014.106,3325.7,732.3337965360142,0,0
validation,weight,11835,165,-47500.0,-24820.66,16989.0,31193.0,30506.636248415714,44650.29999999999,47500.0,47500.0,10572.590450050213,145,0
validation,market_index,11751,249,0.72361,0.79098,0.81445,0.9229,0.9269130491022041,1.040915,1.065755,1.09895,0.07410947509872519,0,0
validation,quote_signal,12000,0,1.23476,1.5421993,1.6917490000000002,2.05123,2.0513338391666665,2.413707,2.5641293000000003,2.89635,0.21980403310695487,0,0
template,predicted_rate,0,12000,,,,,,,,,,0,0
december,distance,31,0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,0.0,0,0
december,weight,31,0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,0.0,0,0
december,predicted_rate,0,31,,,,,,,,,,0,0
