load_id,distance,posted_rate,rate_per_mile,posted_rate_iqr_flag,rate_per_mile_iqr_flag
TR-000001,274.3,645.41,2.352934742982136,False,False
TR-000002,280.5,679.97,2.4241354723707667,False,False
TR-000003,967.8,1802.54,1.8625129158917133,False,False
TR-000004,965.4,1827.28,1.8927698363372696,False,False
TR-000005,541.9,1380.28,2.547112013286584,False,False
TR-000006,1396.4,2676.98,1.917058149527356,False,False
TR-000007,1502.6,2718.54,1.809224011713031,False,False
TR-000008,1976.9,3522.92,1.7820425919368708,False,False
TR-000009,2027.7,3675.27,1.8125314395620653,False,False
TR-000010,717.1,1578.83,2.2016873518337747,False,False
TR-000011,2766.6,4744.15,1.7147943323935515,False,False
TR-000012,549.0,1207.88,2.200145719489982,False,False
TR-000013,1085.1,2277.79,2.0991521518754035,False,False
TR-000014,1145.3,2229.54,1.9466864576966734,False,False
TR-000015,145.6,395.09,2.71353021978022,False,False
TR-000016,575.8,1165.8,2.0246613407433136,False,False
TR-000017,1755.3,3444.74,1.9624793482595566,False,False
TR-000018,1706.0,3238.08,1.8980539273153576,False,False
TR-000019,698.5,1441.82,2.064166070150322,False,False
TR-000020,108.2,305.7,2.8253234750462104,False,False
TR-000021,158.0,418.21,2.646898734177215,False,False
TR-000022,1558.9,2825.86,1.8127269228302008,False,False
TR-000023,262.8,616.12,2.3444444444444446,False,False
TR-000024,448.9,1060.95,2.363443974159056,False,False
TR-000025,521.5,1176.88,2.256720997123682,False,False
TR-000026,934.2,1765.95,1.890333975594091,False,False
TR-000027,1634.9,2952.29,1.805792403205089,False,False
TR-000028,446.4,1056.36,2.3663978494623654,False,False
TR-000029,1001.4,2029.09,2.026253245456361,False,False
TR-000030,735.4,1399.93,1.9036306771824858,False,False
TR-000031,1884.4,3486.57,1.8502281893440884,False,False
TR-000032,1367.9,2772.52,2.0268440675487973,False,False
TR-000033,944.9,1904.87,2.015948777648428,False,False
TR-000034,839.5,1549.61,1.8458725431804643,False,False
TR-000035,1256.0,2719.33,2.1650716560509555,False,False
TR-000036,334.1,796.1,2.382819515115235,False,False
TR-000037,1379.2,2472.76,1.7928944315545245,False,False
TR-000038,2442.7,4817.75,1.972305236009334,False,False
TR-000039,2021.3,3894.56,1.9267600059367733,False,False
TR-000040,172.7,449.07,2.6002895193978,False,False
TR-000041,1222.2,2502.44,2.04748813614793,False,False
TR-000042,1213.7,2248.54,1.852632446238774,False,False
TR-000043,3112.0,5224.69,1.6788849614395887,False,False
TR-000044,860.9,1902.94,2.2104077128586366,False,False
TR-000045,485.1,1113.14,2.2946608946608946,False,False
TR-000046,732.4,1541.79,2.105120152921901,False,False
TR-000047,1660.7,2928.34,1.7633166736918167,False,False
TR-000048,391.5,910.3,2.3251596424010215,False,False
TR-000049,2215.4,3854.54,1.739884445246908,False,False
TR-000050,583.4,1186.14,2.0331504970860474,False,False
TR-000051,2202.5,1243.45,0.5645629965947787,False,True
TR-000052,1922.3,3658.56,1.903220100920772,False,False
TR-000053,850.1,1880.38,2.211951535113516,False,False
TR-000054,820.5,1746.08,2.1280682510664226,False,False
TR-000055,1115.7,2450.11,2.196029398583849,False,False
TR-000056,535.7,1162.69,2.1704125443345155,False,False
TR-000057,384.5,852.26,2.2165409622886867,False,False
TR-000058,257.6,590.92,2.2939440993788818,False,False
TR-000059,2241.4,3778.31,1.6856919782278932,False,False
TR-000060,427.1,854.44,2.0005619292905643,False,False
TR-000061,2230.8,4429.51,1.9856150259996412,False,False
TR-000062,1036.6,2135.04,2.0596565695543125,False,False
TR-000063,723.7,1636.94,2.26190410391046,False,False
TR-000064,531.9,1184.07,2.2261139311900733,False,False
TR-000065,542.5,1153.3,2.125898617511521,False,False
TR-000066,2216.1,4249.82,1.91770226975317,False,False
TR-000067,276.7,670.26,2.422334658474883,False,False
TR-000068,285.0,776.42,2.724280701754386,False,False
TR-000069,1334.2,2831.27,2.122073152450907,False,False
TR-000070,1186.8,2241.89,1.8890208965284798,False,False
TR-000071,1125.0,2002.77,1.78024,False,False
TR-000072,905.3,1688.09,1.8646746934717773,False,False
TR-000073,473.7,1103.83,2.3302301034409965,False,False
TR-000074,535.4,1278.27,2.3875046694060518,False,False
TR-000075,334.9,776.98,2.32003583159152,False,False
TR-000076,3099.1,5893.49,1.9016779064889806,False,False
TR-000077,1396.3,2606.32,1.866590274296355,False,False
TR-000078,1326.6,2567.5,1.935398763756973,False,False
TR-000079,672.3,1373.98,2.043700728841291,False,False
TR-000080,1160.6,2528.8,2.178872996725832,False,False
TR-000081,633.4,1301.69,2.055083675402589,False,False
TR-000082,683.7,1445.84,2.114728682170542,False,False
TR-000083,1715.2,3216.39,1.8752273787313432,False,False
TR-000084,1222.2,2545.75,2.0829242349860904,False,False
TR-000085,696.4,1519.74,2.1822802986789203,False,False
TR-000086,1431.4,2885.28,2.0157049042895068,False,False
TR-000087,1132.8,2161.53,1.9081302966101696,False,False
TR-000088,2172.8,4115.45,1.8940767673048597,False,False
TR-000089,877.0,1895.72,2.1615963511972636,False,False
TR-000090,1521.2,3092.37,2.0328490665264263,False,False
TR-000091,1858.6,3742.3,2.013504788550522,False,False
TR-000092,1220.1,2650.56,2.1724120973690684,False,False
TR-000093,749.7,1537.18,2.050393490729625,False,False
TR-000094,691.7,1479.61,2.1390920919473757,False,False
TR-000095,1098.0,1991.87,1.8140892531876138,False,False
TR-000096,684.1,1297.4,1.8965063587194855,False,False
TR-000097,891.6,1599.62,1.7941004934948406,False,False
TR-000098,539.5,1112.96,2.0629471733086193,False,False
TR-000099,1607.8,3072.03,1.9107040676701084,False,False
TR-000100,932.8,1792.75,1.9219018010291595,False,False
TR-000101,900.3,2101.86,2.334621792735755,False,False
TR-000102,1556.3,3007.13,1.9322302897898864,False,False
TR-000103,418.0,970.69,2.3222248803827754,False,False
TR-000104,523.3,1074.67,2.053640359258552,False,False
TR-000105,929.3,1792.83,1.9292262993651135,False,False
TR-000106,1901.5,3407.03,1.7917591375230082,False,False
TR-000107,1266.0,2498.9,1.9738546603475513,False,False
TR-000108,1085.4,1958.1,1.804035378662244,False,False
TR-000109,241.1,567.3,2.3529655744504354,False,False
TR-000110,1119.1,2167.51,1.9368331695112146,False,False
TR-000111,473.8,996.02,2.1021950189953564,False,False
TR-000112,627.1,1291.45,2.059400414606921,False,False
TR-000113,1962.4,3677.5,1.8739808397880147,False,False
TR-000114,937.7,1761.28,1.878297963101205,False,False
TR-000115,1191.6,2296.78,1.9274756629741527,False,False
TR-000116,445.7,1009.42,2.2647969486201482,False,False
TR-000117,533.8,1271.1,2.3812289246908955,False,False
TR-000118,2223.2,4091.87,1.8405316660669306,False,False
TR-000119,1894.5,3765.28,1.987479546054368,False,False
TR-000120,963.4,1825.93,1.89529790325929,False,False
